Product_Name,Pricing,Ratings
Apple iPhone 6 (Gold, 32 GB)|Rs.22999|4.4
Apple iPhone 6s (Gold, 32 GB)|Rs.28999|4.4
Apple iPhone 6s (Space Grey, 32 GB)|Rs.28999|4.5
Apple iPhone 7 (Rose Gold, 32 GB)|Rs.38999|4.5
Apple iPhone 7 (Silver, 32 GB)|Rs.38999|4.5
Apple iPhone 7 (Gold, 32 GB)|Rs.38999|4.5
Apple iPhone 6s (Rose Gold, 32 GB)|Rs.29599|4.5
Apple iPhone 6s Plus (Gold, 32 GB)|Rs.33999|4.4
Apple iPhone 6s (Silver, 32 GB)|Rs.28999|4.4
Apple iPhone 8 (Space Grey, 64 GB)|Rs.58999|4.5
Apple iPhone XR (Black, 64 GB)|Rs.69999|4.6
Apple iPhone SE (Space Grey, 32 GB)|Rs.24999|4.5
Mu M200|Rs.869|4.1
Apple iPhone 6 (Space Grey, 32 GB)|Rs.25799|4.4
Apple iPhone XR (Blue, 64 GB)|Rs.69999|4.6
Apple iPhone XR (Black, 128 GB)|Rs.74999|4.6
Apple iPhone 8 Plus (Gold, 64 GB)|Rs.68999|4.6
Apple iPhone 7 Plus (Gold, 32 GB)|Rs.48990|4.6
Apple iPhone XR (Coral, 64 GB)|Rs.69999|4.6
Apple iPhone XR (Coral, 128 GB)|Rs.74999|4.6
Apple iPhone 6s Plus (Silver, 16 GB)|Rs.42980|4.3
Apple iPhone 7 Plus (Gold, 128 GB)|Rs.59490|4.5
Apple iPhone XR (Yellow, 128 GB)|Rs.74999|4.6
Apple iPhone 6s (Rose Gold, 16 GB)|Rs.31999|4.4
